,cant_carga,total_trips,demanda,latitude,longitude
229,0,0,0,-12.0555220158783,-76.9572443515062
230,0,0,0,-12.05445115,-76.95451185
231,30,1,30,-12.0551479,-76.95705224
232,0,0,0,-12.05538135,-76.95771072
233,10,1,10,-12.041813,-76.9195643
234,0,0,0,-12.05711912,-76.96065076
235,0,0,0,-12.05725749,-76.9601807
236,0,0,0,-12.05847162,-76.95947662
237,40,1,40,-12.05869557,-76.9593918
238,40,1,40,-12.05906115,-76.95933983
239,10,2,20,-12.0592355774828,-76.9592629653187
240,30,2,60,-12.0448083,-76.9347367
241,200,1,200,-12.055557263095,-76.9559909217776
242,240,1,240,-12.0555261243247,-76.9559780974658
243,0,0,0,-12.0558123244085,-76.9551611971827
244,0,0,0,-12.0543298591041,-76.956520406601
245,0,0,0,-12.0543288532757,-76.9595519733401
246,0,0,0,-12.0597244519853,-76.9595513866068
247,0,0,0,-12.0570546900966,-76.9611885399343
248,250,3,750,-12.0624891808369,-76.9583298918576
249,100,3,300,-12.0624476904162,-76.9580801111431
250,50,2,100,-12.0444377,-76.9346542
251,80,2,160,-12.0535777,-76.9408926
252,70,4,280,-12.057772,-76.9441308
253,80,2,160,-12.0582943,-76.9438755
254,220,2,440,-12.0584696,-76.9438152
255,40,3,120,-12.0596783,-76.9431
256,30,1,30,-12.0604763,-76.9426161
257,60,1,60,-12.0625892,-76.9414064
258,0,0,0,-12.133531114245,-76.9830817356706
259,0,0,0,-12.1434772727521,-76.9833593443036
260,50,5,250,-12.1119845296894,-76.9700435176492
261,50,4,200,-12.1106185308037,-76.9710832089186
262,50,4,200,-12.1256759302358,-76.9830106571317
263,60,3,180,-12.1255058041359,-76.9832272455096
264,50,4,200,-12.1213929152828,-76.9882909208536
265,40,3,120,-12.1209530058268,-76.9881172478199
266,100,3,300,-12.1143329693202,-76.9734298065305
267,30,3,90,-12.1137379938971,-76.973314806819
268,0,0,0,-12.1383918113302,-76.9832772016525
269,55,4,220,-12.1383131440679,-76.9817838817835
270,50,7,350,-12.1105631301735,-76.9711402058601
271,35,3,105,-12.1255661186037,-76.9837499409914
272,80,7,560,-12.1214034049182,-76.9938280060887
273,70,2,140,-12.139404650256,-76.989777199924
274,55,2,110,-12.1395403507128,-76.9896363839507
275,44,2,88,-12.1392909109311,-76.9886023923755
276,100,3,300,-12.1386428908533,-76.9883911684155
277,50,3,150,-12.1085942695447,-76.9713779166341
278,20,2,40,-12.13053743,-76.98732667
279,40,3,120,-12.1296540309849,-76.9880998134613
280,55,4,220,-12.1286005087629,-76.9977232441306
281,25,4,100,-12.1324333560322,-76.9953582063317
282,30,2,60,-12.1288181627306,-76.995945610106
283,20,2,40,-12.1331987388405,-76.997869759798
284,25,2,50,-12.1352388748254,-76.9976092502475
285,35,4,140,-12.1333154308443,-76.9991669431329
286,30,2,60,-12.134840289074,-77.0011789351702
287,35,3,105,-12.1339411744538,-76.9987290725112
288,90,3,270,-12.133580282169,-77.0138352736831
289,70,2,140,-12.1334213058485,-77.0162217691541
290,80,7,560,-12.1358773974673,-77.0044311136007
291,300,3,900,-12.1352841090259,-77.0041179656982
292,2220,3,6660,-12.1331639934588,-77.0044220611453
293,60,3,180,-12.1303341963559,-77.0076685398817
294,200,3,600,-12.1304197495641,-77.0083240047097
